Country,Year,Total,Non-Powered Boat,Powered-Boat
Indonesia,2013,603318,168741,434577
West Sumatra,2013,33188,7699,25489
South Java,2013,25077,892,24185
Malacca Strait,2013,40278,6335,33943
East Sumatra,2013,63789,15113,48676
North Java,2013,79547,3570,75977
Bali-Nusa Tenggara,2013,63768,20580,43188
South-west Kalimantan,2013,28236,6608,21628
East Kalimantan,2013,33155,2575,30580
South Sulawesi,2013,75511,14742,60769
North Sulawesi,2013,63686,24695,38991
Maluku-Papua,2013,97083,65932,31151