Country,Year,Total,Non-Powered Boat,Powered-Boat
Indonesia,2014,651966,174184,477782
West Sumatra,2014,35645,8985,26660
South Java,2014,29719,1208,28511
Malacca Strait,2014,35893,6120,29773
East Sumatra,2014,62148,14142,48006
North Java,2014,102993,5200,97793
Bali-Nusa Tenggara,2014,69083,23225,45858
South-West Kalimantan,2014,29568,5339,24229
East Kalimantan,2014,34620,2714,31906
South Sulawesi,2014,79123,15582,63541
North Sulawesi,2014,74345,25933,48412
Maluku-Papua,2014,98829,65736,33093