Country,Year,Fisheries
Africa,1995,2743000
Africa,2000,3247000
Africa,2005,3736000
Africa,2010,4228000
Africa,2015,4712000
Africa,2018,5021000
Americas,1995,1793000
Americas,2000,1982000
Americas,2005,2013000
Americas,2010,2562000
Americas,2015,2816000
Americas,2018,2455000
Asia,1995,24205000
Asia,2000,28079000
Asia,2005,29890000
Asia,2010,31517000
Asia,2015,30436000
Asia,2018,30768000
Europe,1995,378000
Europe,2000,679000
Europe,2005,558000
Europe,2010,530000
Europe,2015,338000
Europe,2018,272000
Oceania,1995,460000
Oceania,2000,451000
Oceania,2005,458000
Oceania,2010,467000
Oceania,2015,469000
Oceania,2018,460000
World,1995,29579000
World,2000,34438000
World,2005,36655000
World,2010,39304000
World,2015,38771000
World,2018,38976000